600186,"M307","Asus"
600187,"M310","Asus"
600188,"M530","Asus"
600189,"P505","Asus"
600190,"P525","Asus"
600191,"P526","Asus"
600192,"P550","Asus"
600193,"P735","Asus"
600194,"V55","Asus"
600195,"V66","Asus"
600196,"V70","Asus"
600197,"V75","Asus"
600198,"V80","Asus"
600199,"V88","Asus"
600200,"V88i","Asus"
600201,"Z801","Asus"
600202,"Z802","Asus"
600203,"Audiovox/S50/Generic","Audiovox"
600204,"CDM-180","Audiovox"
600205,"CDM-180 (Verizon Wireless)","Audiovox"
600206,"CDM-8200","Audiovox"
600207,"CDM-8300","Audiovox"
600208,"CDM-8400","Audiovox"
600209,"CDM-8450","Audiovox"
600210,"CDM-8450SP","Audiovox"
600211,"CDM-8500","Audiovox"
600212,"CDM-8600","Audiovox"
600213,"CDM-8900","Audiovox"
600214,"CDM-8900 (Telus network)","Audiovox"
600215,"CDM-8900 (Verizon Wireless)","Audiovox"
600216,"CDM-8910","Audiovox"
600217,"CDM-8910 (Verizon Wireless)","Audiovox"
600218,"CDM-8912","Audiovox"
600219,"CDM-8915","Audiovox"
600220,"CDM-8915 (Verizon Wireless)","Audiovox"
600221,"CDM-8920","Audiovox"
600222,"CDM-8930","Audiovox"
600223,"CDM-8940","Audiovox"
600224,"CDM-8940 (Verizon Wireless)","Audiovox"
600225,"CDM-8945","Audiovox"
600226,"CDM-9100","Audiovox"
600227,"CDM-9155GPX","Audiovox"
600228,"CDM-9500","Audiovox"
600229,"CDM-9900","Audiovox"
600230,"CDM-9900 (Verizon Wireless)","Audiovox"
600231,"CDM8615","Audiovox"
600232,"CDM9200","Audiovox"
600233,"PM-8920","Audiovox"
600234,"SMT 5600","Audiovox"
600235,"A500","BenQ"
600236,"A5001","BenQ"
600237,"A520","BenQ"
600238,"A58","BenQ"
600239,"Athena S830C","BenQ"
600240,"M100","BenQ"
600241,"M220","BenQ"
600242,"M300","BenQ"
600243,"M305","BenQ"
600244,"M315","BenQ"
600245,"M350","BenQ"
600246,"M580","BenQ"
600247,"M775C","BenQ"
600248,"Morpheus","BenQ"
600249,"Nike1 S660C","BenQ"
600250,"P30","BenQ"
600251,"P31","BenQ"
600252,"P50","BenQ"
600253,"S660C","BenQ"
600254,"S668C","BenQ"
600255,"S670C","BenQ"
600256,"S680C","BenQ"
600257,"S700","BenQ"
600258,"S7001","BenQ"
600259,"S80","BenQ"
600260,"S82","BenQ"
600261,"U700","BenQ"
600262,"Vulcan","BenQ"
600263,"Z2","BenQ"
600264,"C8188","Capitel"
600265,"Capitel/S40/Generic","Capitel"
600266,"Capitel/S50/Generic","Capitel"
600267,"F600","Capitel"
600268,"F650","Capitel"
600269,"G750","Capitel"
600270,"S518","Capitel"
600271,"S608","Capitel"
600272,"S750","Capitel"
600273,"V851","Capitel"
600274,"V859","Capitel"
600275,"WAP Browser","CheckCom"
600276,"6668","DBTEL"
600277,"D5","DBTEL"
600278,"DBTEL/S50/Generic","DBTEL"
600279,"J1","DBTEL"
600280,"J6","DBTEL"
600281,"G83","Dai Telecom"
600282,"DP900","Dallab"
600283,"i-GO 600","Enteos"
600284,"A2618","Ericsson"
600285,"A2628","Ericsson"
600286,"MC218","Ericsson"
600287,"R280","Ericsson"
600288,"R320","Ericsson"
600289,"R380e","Ericsson"
600290,"R520","Ericsson"
600291,"R600","Ericsson"
600292,"T100","Ericsson"
600293,"T20","Ericsson"
600294,"T200","Ericsson"
600295,"T20e","Ericsson"
600296,"T29s","Ericsson"
600297,"T39m","Ericsson"
600298,"T39m R2","Ericsson"
600299,"T600","Ericsson"
600300,"T60d","Ericsson"
600301,"T610","Ericsson"
600302,"T65","Ericsson"
600303,"T66","Ericsson"
600304,"T68","Ericsson"
600305,"T68m","Ericsson"
600306,"G402i","Grundig"
600307,"G410i","Grundig"
600308,"G411i","Grundig"
600309,"G550i","Grundig"
600310,"G600i","Grundig"
600311,"GR660","Grundig"
600312,"GR980","Grundig"
600313,"M131","Grundig"
600314,"iPAQ 6900","HP"
600315,"iPAQ H6300 series","HP"
600316,"iPAQ HW6500 Series","HP"
600317,"iPAQ HW6510 Series","HP"
600318,"iPAQ HW6515 Series","HP"
600319,"iPAQ rw6800","HP"
600320,"iPAQ rw6815","HP"
600321,"2125","HTC"
600322,"3100","HTC"
600323,"8100","HTC"
600324,"8500","HTC"
600325,"9000","HTC"
600326,"Advantage","HTC"
600327,"Artist","HTC"
600328,"Gemini","HTC"
600330,"HTC/S60/Generic","HTC"
600331,"HTC/S80/Generic","HTC"
600332,"HTC/VGA/Generic","HTC"
600333,"Kaiser","HTC"
600335,"MDA Compact","HTC"
600336,"Mercury","HTC"
600337,"MTeoR","HTC"
600338,"P3300","HTC"
600339,"P3350","HTC"
600340,"P3400","HTC"
600341,"P3450","HTC"
600342,"P3450-orange","HTC"
600343,"P3600","HTC"
600344,"P3600i","HTC"
600345,"P3650/Orange","HTC"
600347,"P4550","HTC"
600348,"PIE","HTC"
600349,"Polaris (P3650)","HTC"
600350,"Prophet","HTC"
600351,"S310","HTC"
600352,"S411","HTC"
600353,"S511","HTC"
600355,"S621","HTC"
600356,"S710","HTC"
600357,"SDA","HTC"
600358,"Touch","HTC"
600359,"Touch Cruise","HTC"
600360,"Touch Diamond","HTC"
600361,"Touch Diamond2","HTC"
600362,"Touch HD","HTC"
600363,"Touch Pro","HTC"
600364,"Touch Viva","HTC"
600365,"Touch2","HTC"
600366,"TouchDual","HTC"
600367,"TouchFLO","HTC"
600368,"Trinity","HTC"
600369,"TyTN","HTC"
600370,"TyTN II","HTC"
600371,"Universal","HTC"
600372,"V1510","HTC"
600373,"VPACompactIV","HTC"
600374,"Wizard","HTC"
600375,"X01HT","HTC"
600376,"X7500","HTC"
600377,"C5300","HUAWEI"
600378,"C7168","HUAWEI"
600379,"Huawei/Generic/S50","HUAWEI"
600380,"Huawei/Generic/S60","HUAWEI"
600381,"M318","HUAWEI"
600382,"U526","HUAWEI"
600383,"U528","HUAWEI"
600384,"U626","HUAWEI"
600385,"U636","HUAWEI"
600386,"A600","Haier"
600387,"A62","Haier"
600388,"A63","Haier"
600389,"D6000","Haier"
600390,"F1100","Haier"
600391,"F1120","Haier"
600392,"F7","Haier"
600393,"Haier/Generic/S40","Haier"
600394,"Haier/Generic/S50","Haier"
600395,"Haier/Generic/S60","Haier"
600396,"Haier/Generic/S80","Haier"
600397,"HG-A7","Haier"
600398,"L1000","Haier"
600399,"M1000","Haier"
600400,"M1210","Haier"
600401,"M160","Haier"
600402,"M1600","Haier"
600403,"M2000","Haier"
600404,"M230","Haier"
600405,"M260","Haier"
600406,"M600","Haier"
600407,"M61","Haier"
600408,"M800","Haier"
600409,"N20","Haier"
600410,"N60","Haier"
600411,"N70","Haier"
600412,"N90","Haier"
600413,"N96","Haier"
600414,"P7","Haier"
600415,"T3100","Haier"
600416,"V100","Haier"
600417,"V160","Haier"
600418,"V200+","Haier"
600419,"V280","Haier"
600420,"V3000","Haier"
600421,"V6000","Haier"
600422,"V7000","Haier"
600423,"V8800","Haier"
600424,"Z300","Haier"
600425,"Z3000","Haier"
600426,"Z3000B","Haier"
600427,"Blazer","Handspring"
600428,"P300","Hitachi"
600429,"KM65","IAC OKWAP Mobile Communications"
600430,"802","Idea"
600431,"2300","Innostream"
600432,"INNO35","Innostream"
600433,"INNO98","Innostream"
600434,"INNOA10_W2","Innostream"
600435,"A1305SA","KDDI"
600436,"A1404S","KDDI"
600437,"CA38","KDDI"
600438,"CA39","KDDI"
